lemma_text,Sentiment_Rating
Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,Neutral
SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,Negative
Baju kurta saya dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,Negative
Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Out Lambat Pulak Dari Yang Ini,Positive
Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J T PUN Laju Buat Keja,Positive
Baju cantik po dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,Positive
selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,Positive
Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,Positive
Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,Positive
Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,Positive
Bahan Baik Barang Sampai Dalam Keadaan Baik Penjual Pun Baik Ada Rezeki Akan Repeat Order Lagi Terima KASIH Penjual Terbaikkk Terbaikkkkkkkkkkkkkkkk,Positive
Baju Cantik Kain Ok Sedap Pakai Penhantaran Cepat Layanan Penjual Memang Terbaik la Mudah Berurusan Kalau Ade 10 Star Nak Bagi,Positive
