translated_text,Product Review,stopword_text,tokenised_text,normalise_text,stemming_text,lemma_text,POS_Tags,Sentiment_Rating
Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,3,Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,"['Baju', 'kurta', 'Sampai', 'Dalam', 'Keadaan', 'Baik', 'Tapi', 'Tarik', 'Ada']","['Baju', 'kurta', 'Sampai', 'Dalam', 'Keadaan', 'Baik', 'Tapi', 'Tarik', 'Ada']",baju kurta sampai dalam ada baik tapi tarik ada,Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,"[('Baju', 'NNP'), ('kurta', 'VBD'), ('Sampai', 'NNP'), ('Dalam', 'NNP'), ('Keadaan', 'NNP'), ('Baik', 'NNP'), ('Tapi', 'NNP'), ('Tarik', 'NNP'), ('Ada', 'NNP')]",Neutral
SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,2,SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,"['SIZING', 'TINDA', 'Tepat', 'Langsung', 'Aku', 'Rasa', 'Macam', 'Baju', 'Sekolah', 'Zaman', 'Rendah', 'ExpressionFlessface']","['SIZING', 'TINDA', 'Tepat', 'Langsung', 'Aku', 'Rasa', 'Macam', 'Baju', 'Sekolah', 'Zaman', 'Rendah', 'ExpressionFlessface']",sizing tinda tepat langsung aku rasa macam baju sekolah zaman rendah expressionflessface,SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,"[('SIZING', 'NN'), ('TINDA', 'NNP'), ('Tepat', 'NNP'), ('Langsung', 'NNP'), ('Aku', 'NNP'), ('Rasa', 'NNP'), ('Macam', 'NNP'), ('Baju', 'NNP'), ('Sekolah', 'NNP'), ('Zaman', 'NNP'), ('Rendah', 'NNP'), ('ExpressionFlessface', 'NNP')]",Negative
Baju kurta aku dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,2,Baju kurta aku dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,"['Baju', 'kurta', 'aku', 'dah', 'koyak', 'Sebelum', 'pakai', 'memang', 'tolak', 'kualiti', 'langsung', 'facewithrollingeyes']","['Baju', 'kurta', 'saya', 'dah', 'koyak', 'Sebelum', 'pakai', 'memang', 'tolak', 'kualiti', 'langsung', 'facewithrollingeyes']",baju kurta saya dah koyak belum pakai memang tolak alit langsung facewithrollingeyes,Baju kurta saya dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,"[('Baju', 'NNP'), ('kurta', 'VBD'), ('saya', 'JJ'), ('dah', 'NN'), ('koyak', 'NN'), ('Sebelum', 'NNP'), ('pakai', 'NN'), ('memang', 'NN'), ('tolak', 'NN'), ('kualiti', 'NN'), ('langsung', 'VBD'), ('facewithrollingeyes', 'NNS')]",Negative
Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Out Lambat Pulak Dari Yang Ini,5,Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Lambat Pulak Dari Yang Ini,"['Penghantaran', 'Laju', 'Kain', 'Cantik', 'Terima', 'kasih', 'Penjual', 'MASIH', 'TUNGGU', 'LAGI', '2Pasan', 'Baju', 'Untuk', 'Smpai', 'Pos', 'Out', 'Lambat', 'Pulak', 'Dari', 'Yang', 'Ini']","['Penghantaran', 'Laju', 'Kain', 'Cantik', 'Terima', 'kasih', 'Penjual', 'MASIH', 'TUNGGU', 'LAGI', '2Pasan', 'Baju', 'Untuk', 'Smpai', 'Pos', 'Out', 'Lambat', 'Pulak', 'Dari', 'Yang', 'Ini']",hantar laju kain cantik terima kasih jual masih tunggu lagi 2pasan baju untuk smpai pos out lambat pulak dari yang ini,Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Out Lambat Pulak Dari Yang Ini,"[('Penghantaran', 'NNP'), ('Laju', 'NNP'), ('Kain', 'NNP'), ('Cantik', 'NNP'), ('Terima', 'NNP'), ('kasih', 'VBD'), ('Penjual', 'NNP'), ('MASIH', 'NNP'), ('TUNGGU', 'NNP'), ('LAGI', 'NNP'), ('2Pasan', 'CD'), ('Baju', 'NNP'), ('Untuk', 'NNP'), ('Smpai', 'NNP'), ('Pos', 'NNP'), ('Out', 'NNP'), ('Lambat', 'NNP'), ('Pulak', 'NNP'), ('Dari', 'NNP'), ('Yang', 'NNP'), ('Ini', 'NNP')]",Positive
Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J T PUN Laju Buat Keja,5,Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J PUN Laju Buat Keja,"['Baju', 'Selamat', 'Mendarat', 'Kain', 'Cantik', 'Dan', 'Sedap', 'Di', 'Pakai', 'Penjual', 'Peramah', 'ABG', 'J', 'T', 'PUN', 'Laju', 'Buat', 'Keja']","['Baju', 'Selamat', 'Mendarat', 'Kain', 'Cantik', 'Dan', 'Sedap', 'Di', 'Pakai', 'Penjual', 'Peramah', 'ABG', 'J', 'T', 'PUN', 'Laju', 'Buat', 'Keja']",baju selamat darat kain cantik dan sedap di pakai jual amah abg j t pun laju buat keja,Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J T PUN Laju Buat Keja,"[('Baju', 'NNP'), ('Selamat', 'NNP'), ('Mendarat', 'NNP'), ('Kain', 'NNP'), ('Cantik', 'NNP'), ('Dan', 'NNP'), ('Sedap', 'NNP'), ('Di', 'NNP'), ('Pakai', 'NNP'), ('Penjual', 'NNP'), ('Peramah', 'NNP'), ('ABG', 'NNP'), ('J', 'NNP'), ('T', 'NNP'), ('PUN', 'NNP'), ('Laju', 'NNP'), ('Buat', 'NNP'), ('Keja', 'NNP')]",Positive
Baju cantik pos dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,5,Baju cantik pos dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,"['Baju', 'cantik', 'pos', 'dalam', '4hri', 'kualiti', 'okay', 'la', 'terima', 'kasih', 'penjual', 'zanyface', 'zanyface', 'zanyface', 'zanyface']","['Baju', 'cantik', 'pos', 'dalam', '4hri', 'kualiti', 'okay', 'la', 'terima', 'kasih', 'penjual', 'zanyface', 'zanyface', 'zanyface', 'zanyface']",baju cantik pos dalam 4hri alit okay la terima kasih jual zanyface zanyface zanyface zanyface,Baju cantik po dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,"[('Baju', 'NNP'), ('cantik', 'NN'), ('po', 'NN'), ('dalam', 'VBZ'), ('4hri', 'CD'), ('kualiti', 'NN'), ('okay', 'NN'), ('la', 'NN'), ('terima', 'NN'), ('kasih', 'VBD'), ('penjual', 'JJ'), ('zanyface', 'NN'), ('zanyface', 'NN'), ('zanyface', 'NN'), ('zanyface', 'NN')]",Positive
selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,5,selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,"['selamat', 'sampai', 'terima', 'kasih', 'ya', 'saiz', 'ukuran', 'sama', 'seperti', 'dalam', 'carta', 'ukuran']","['selamat', 'sampai', 'terima', 'kasih', 'ya', 'saiz', 'ukuran', 'sama', 'seperti', 'dalam', 'carta', 'ukuran']",selamat sampai terima kasih ya saiz ukur sama seperti dalam carta ukur,selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,"[('selamat', 'NN'), ('sampai', 'NN'), ('terima', 'NN'), ('kasih', 'NN'), ('ya', 'NN'), ('saiz', 'NN'), ('ukuran', 'JJ'), ('sama', 'NN'), ('seperti', 'NN'), ('dalam', 'NN'), ('carta', 'NN'), ('ukuran', 'NN')]",Positive
Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,5,Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,"['Bungkusan', 'Bagus', 'Dan', 'Baik', 'Barang', 'Sampai', 'Dengan', 'Selamat', 'Tiada', 'Kerosakan', 'Dan', 'Kebocoran', 'Plastik', 'Yang', 'Di', 'Balut', 'Video', 'Tiada', 'Kait', 'Kain', 'Baik', 'Dan', 'Lembut']","['Bungkusan', 'Bagus', 'Dan', 'Baik', 'Barang', 'Sampai', 'Dengan', 'Selamat', 'Tiada', 'Kerosakan', 'Dan', 'Kebocoran', 'Plastik', 'Yang', 'Di', 'Balut', 'Video', 'Tiada', 'Kait', 'Kain', 'Baik', 'Dan', 'Lembut']",bungkus bagus dan baik barang sampai dengan selamat tiada kerosakan dan bocor plastik yang di balut video tiada kait kain baik dan lembut,Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,"[('Bungkusan', 'NNP'), ('Bagus', 'NNP'), ('Dan', 'NNP'), ('Baik', 'NNP'), ('Barang', 'NNP'), ('Sampai', 'NNP'), ('Dengan', 'NNP'), ('Selamat', 'NNP'), ('Tiada', 'NNP'), ('Kerosakan', 'NNP'), ('Dan', 'NNP'), ('Kebocoran', 'NNP'), ('Plastik', 'NNP'), ('Yang', 'NNP'), ('Di', 'NNP'), ('Balut', 'NNP'), ('Video', 'NNP'), ('Tiada', 'NNP'), ('Kait', 'NNP'), ('Kain', 'NNP'), ('Baik', 'NNP'), ('Dan', 'NNP'), ('Lembut', 'NNP')]",Positive
Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,5,Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,"['Baju', 'Saiz', '3', '4', 'OK', 'Semua', 'Cantik', 'Jahitan', 'KEMIS', 'Baju', 'Saiz', '1', '2', 'Jahitan', 'Kemas', 'Tapi', 'Ada', 'Sikit', 'Kekotoran', 'Karat', 'Dibelakah', 'Baju', 'Skrg']","['Baju', 'Saiz', '3', '4', 'OK', 'Semua', 'Cantik', 'Jahitan', 'KEMIS', 'Baju', 'Saiz', '1', '2', 'Jahitan', 'Kemas', 'Tapi', 'Ada', 'Sikit', 'Kekotoran', 'Karat', 'Dibelakah', 'Baju', 'Skrg']",baju saiz 3 4 ok semua cantik jahit kemis baju saiz 1 2 jahit kemas tapi ada sikit kotor karat bela baju skrg,Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,"[('Baju', 'NNP'), ('Saiz', 'NNP'), ('3', 'CD'), ('4', 'CD'), ('OK', 'JJ'), ('Semua', 'NNP'), ('Cantik', 'NNP'), ('Jahitan', 'NNP'), ('KEMIS', 'NNP'), ('Baju', 'NNP'), ('Saiz', 'NNP'), ('1', 'CD'), ('2', 'CD'), ('Jahitan', 'NNP'), ('Kemas', 'NNP'), ('Tapi', 'NNP'), ('Ada', 'NNP'), ('Sikit', 'NNP'), ('Kekotoran', 'NNP'), ('Karat', 'NNP'), ('Dibelakah', 'NNP'), ('Baju', 'NNP'), ('Skrg', 'NNP')]",Positive
Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,5,Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,"['Perfect', 'Penghantaran', 'Sangat', 'Cepat', 'Kualiti', 'Kain', 'Pun', 'Best', 'Aak', '1', 'Tahun', '11', 'Bulan', 'AMIK', 'Saiz', '1', '2', 'Fit²', 'Penjual', 'Responden', 'Pun', 'Cepat']","['Perfect', 'Penghantaran', 'Sangat', 'Cepat', 'Kualiti', 'Kain', 'Pun', 'Best', 'Aak', '1', 'Tahun', '11', 'Bulan', 'AMIK', 'Saiz', '1', '2', 'Fit²', 'Penjual', 'Responden', 'Pun', 'Cepat']",perfect hantar sangat cepat alit kain pun best aak 1 tahun 11 bulan amik saiz 1 2 fit jual responden pun cepat,Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,"[('Perfect', 'NNP'), ('Penghantaran', 'NNP'), ('Sangat', 'NNP'), ('Cepat', 'NNP'), ('Kualiti', 'NNP'), ('Kain', 'NNP'), ('Pun', 'NNP'), ('Best', 'NNP'), ('Aak', 'NNP'), ('1', 'CD'), ('Tahun', 'NNP'), ('11', 'CD'), ('Bulan', 'NNP'), ('AMIK', 'NNP'), ('Saiz', 'NNP'), ('1', 'CD'), ('2', 'CD'), ('Fit²', 'NNP'), ('Penjual', 'NNP'), ('Responden', 'NNP'), ('Pun', 'NNP'), ('Cepat', 'NNP')]",Positive
